#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 03 02 52 133  0.8 99.0 99.00 99.00 99.00 999 1017.0   9.7 999.0 999.0 99.0 99.00
2017 01 03 03 49 177  1.4 99.0 99.00 99.00 99.00 999 1017.0   9.9 999.0 999.0 99.0 99.00
2017 01 03 04 49 328  3.5 99.0 99.00 99.00 99.00 999 1018.0   8.6 999.0 999.0 99.0 99.00
2017 01 03 05 49 180  1.6 99.0 99.00 99.00 99.00 999 1018.0   8.1 999.0 999.0 99.0 99.00
2017 01 03 06 48 226  0.7 99.0 99.00 99.00 99.00 999 1019.0   8.5 999.0 999.0 99.0 99.00
2017 01 03 07 49 154  2.0 99.0 99.00 99.00 99.00 999 1019.0   9.2 999.0 999.0 99.0 99.00
2017 01 03 08 49 153  2.6 99.0 99.00 99.00 99.00 999 1019.0   8.9 999.0 999.0 99.0 99.00
2017 01 03 09 49 156  1.9 99.0 99.00 99.00 99.00 999 1019.0   8.9 999.0 999.0 99.0 99.00
2017 01 03 10 49 158  3.1 99.0 99.00 99.00 99.00 999 1019.0   8.8 999.0 999.0 99.0 99.00
2017 01 03 11 49 150  4.7 99.0 99.00 99.00 99.00 999 1019.0   8.9 999.0 999.0 99.0 99.00
2017 01 03 12 49 179  2.9 99.0 99.00 99.00 99.00 999 1018.0   8.8 999.0 999.0 99.0 99.00
2017 01 03 14 02 141  3.7 99.0 99.00 99.00 99.00 999 1018.0   9.0 999.0 999.0 99.0 99.00
2017 01 03 14 49 142  7.1 99.0 99.00 99.00 99.00 999 1018.0   8.9 999.0 999.0 99.0 99.00
2017 01 03 15 49 152  6.4 99.0 99.00 99.00 99.00 999 1017.0   8.8 999.0 999.0 99.0 99.00
2017 01 03 16 49 156  6.1 99.0 99.00 99.00 99.00 999 1017.0   9.2 999.0 999.0 99.0 99.00
2017 01 03 17 49 134  4.0 99.0 99.00 99.00 99.00 999 1017.0   9.8 999.0 999.0 99.0 99.00
2017 01 03 18 49 143  4.9 99.0 99.00 99.00 99.00 999 1017.0  10.2 999.0 999.0 99.0 99.00
2017 01 03 19 49 143  6.1 99.0 99.00 99.00 99.00 999 1015.0  10.3 999.0 999.0 99.0 99.00
2017 01 03 20 49 154  6.5 99.0 99.00 99.00 99.00 999 1014.0  10.4 999.0 999.0 99.0 99.00
2017 01 03 21 49 143  8.0 99.0 99.00 99.00 99.00 999 1013.0  10.6 999.0 999.0 99.0 99.00
2017 01 03 22 49 137 10.1 99.0 99.00 99.00 99.00 999 1012.0  10.4 999.0 999.0 99.0 99.00
2017 01 05 23 49 272  0.0 99.0 99.00 99.00 99.00 999 1018.0   7.7 999.0 999.0 99.0 99.00
2017 01 06 00 49 350  1.1 99.0 99.00 99.00 99.00 999 1018.0   8.9 999.0 999.0 99.0 99.00
2017 01 06 01 48 241  1.6 99.0 99.00 99.00 99.00 999 1018.0   6.6 999.0 999.0 99.0 99.00
2017 01 06 02 49 249  1.6 99.0 99.00 99.00 99.00 999 1019.0   6.6 999.0 999.0 99.0 99.00
