#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 12 31 23 49   0  7.3 99.0 99.00 99.00 99.00 999 1017.0  11.9 999.0 999.0 99.0 99.00
2019 01 01 00 49 344  7.1 99.0 99.00 99.00 99.00 999 1017.0  11.8 999.0 999.0 99.0 99.00
2019 01 01 01 49 345  6.7 99.0 99.00 99.00 99.00 999 1018.0  11.4 999.0 999.0 99.0 99.00
2019 01 01 02 49   2  9.4 99.0 99.00 99.00 99.00 999 1018.0  11.4 999.0 999.0 99.0 99.00
2019 01 01 03 49 339  8.2 99.0 99.00 99.00 99.00 999 1019.0  11.3 999.0 999.0 99.0 99.00
2019 01 01 04 49 344  5.9 99.0 99.00 99.00 99.00 999 1019.0  10.9 999.0 999.0 99.0 99.00
2019 01 01 05 49   0  7.7 99.0 99.00 99.00 99.00 999 1019.0  10.9 999.0 999.0 99.0 99.00
2019 01 01 06 49 351  7.3 99.0 99.00 99.00 99.00 999 1019.0  10.7 999.0 999.0 99.0 99.00
2019 01 01 07 49 351  8.6 99.0 99.00 99.00 99.00 999 1019.0  10.4 999.0 999.0 99.0 99.00
2019 01 01 08 49 340  8.5 99.0 99.00 99.00 99.00 999 1019.0   9.8 999.0 999.0 99.0 99.00
2019 01 01 09 49 330  9.5 99.0 99.00 99.00 99.00 999 1020.0   9.1 999.0 999.0 99.0 99.00
2019 01 01 10 49 339  8.6 99.0 99.00 99.00 99.00 999 1021.0   8.8 999.0 999.0 99.0 99.00
2019 01 01 11 49   1  9.1 99.0 99.00 99.00 99.00 999 1021.0   9.5 999.0 999.0 99.0 99.00
2019 01 01 12 49   3  6.7 99.0 99.00 99.00 99.00 999 1022.0   8.9 999.0 999.0 99.0 99.00
2019 01 01 13 49   2  6.4 99.0 99.00 99.00 99.00 999 1022.0   8.9 999.0 999.0 99.0 99.00
2019 01 01 14 49 350  4.6 99.0 99.00 99.00 99.00 999 1024.0   8.8 999.0 999.0 99.0 99.00
2019 01 01 15 49  40  2.2 99.0 99.00 99.00 99.00 999 1025.0   9.1 999.0 999.0 99.0 99.00
2019 01 01 16 49 349  3.1 99.0 99.00 99.00 99.00 999 1025.0   9.4 999.0 999.0 99.0 99.00
2019 01 01 17 49 122  1.4 99.0 99.00 99.00 99.00 999 1025.0   9.8 999.0 999.0 99.0 99.00
2019 01 01 18 49  57  0.0 99.0 99.00 99.00 99.00 999 1025.0  10.3 999.0 999.0 99.0 99.00
2019 01 01 19 49  32  1.6 99.0 99.00 99.00 99.00 999 1025.0  11.3 999.0 999.0 99.0 99.00
2019 01 01 20 49 308  1.6 99.0 99.00 99.00 99.00 999 1024.0  12.3 999.0 999.0 99.0 99.00
2019 01 01 21 49 295  2.0 99.0 99.00 99.00 99.00 999 1023.0  13.1 999.0 999.0 99.0 99.00
2019 01 01 22 49 248  0.0 99.0 99.00 99.00 99.00 999 1023.0  14.1 999.0 999.0 99.0 99.00
2019 01 01 23 49 244  0.7 99.0 99.00 99.00 99.00 999 1023.0  10.9 999.0 999.0 99.0 99.00
2019 01 02 00 49 266  1.4 99.0 99.00 99.00 99.00 999 1023.0  10.1 999.0 999.0 99.0 99.00
2019 01 02 01 49 226  0.8 99.0 99.00 99.00 99.00 999 1023.0   9.7 999.0 999.0 99.0 99.00
2019 01 02 02 49 252  1.0 99.0 99.00 99.00 99.00 999 1024.0   8.9 999.0 999.0 99.0 99.00
2019 01 02 03 49 297  0.7 99.0 99.00 99.00 99.00 999 1024.0   8.2 999.0 999.0 99.0 99.00
2019 01 02 04 49 225  0.8 99.0 99.00 99.00 99.00 999 1024.0   7.5 999.0 999.0 99.0 99.00
2019 01 02 05 49 234  1.4 99.0 99.00 99.00 99.00 999 1023.0   7.8 999.0 999.0 99.0 99.00
2019 01 02 06 49 273  0.0 99.0 99.00 99.00 99.00 999 1024.0   7.1 999.0 999.0 99.0 99.00
2019 01 02 07 49 242  1.4 99.0 99.00 99.00 99.00 999 1024.0   7.1 999.0 999.0 99.0 99.00
2019 01 02 08 49 237  0.7 99.0 99.00 99.00 99.00 999 1024.0   6.8 999.0 999.0 99.0 99.00
