"","BIAS","RMSE","SDE","NA%","Name"
"1","-0.0222597141903602","0.449175615310342","0.448623715950893","11.203","aamc1WSPD"
"2","-0.0208905516141694","0.51497480088017","0.514550901655829","11.203","aamc1GST"
"3","0.000972040374611494","0.413042852737776","0.413041708953552","11.203","aamc1ATMP"
"4","-0.0298375382052555","0.202313813350466","0.200101475222591","11.203","aamc1PRES"
"5","-0.0218410818630881","0.461558132695313","0.461041079514868","11.203","dpxc1WSPD"
"6","0.0195632372363753","0.527792603852932","0.527429912339727","11.203","dpxc1GST"
"7","-0.00127883692423129","0.616633058078312","0.616631731985252","11.203","dpxc1ATMP"
"8","-0.0711627927983208","0.211206788202173","0.198857145468351","11.203","dpxc1PRES"
"9","0.0194170211116526","0.610874441028309","0.610565772044911","11.203","ftpc1WSPD"
"10","-0.0267743832344252","0.76788424637461","0.767417323385861","11.203","ftpc1GST"
"11","-0.0352605222501103","0.637822888877156","0.636847495988051","11.203","ftpc1ATMP"
"12","-0.2938615734485","0.406598100866175","0.281011372151292","11.203","ftpc1PRES"
"13","-0.0191952034742063","0.379028667808572","0.378542303031411","11.203","lndc1WSPD"
"14","0.00417205267195414","0.475610256401384","0.475591957428522","11.203","lndc1GST"
"15","0.00408176960118682","0.404061820662389","0.404041203435897","11.203","lndc1ATMP"
"16","-0.0766903379745335","0.189643804444948","0.173445566751375","11.203","lndc1PRES"
"17","0.00946321124713874","0.381675794786173","0.381558462045528","10.31","obxc1ATMP"
"18","0.00817771115354905","0.487130958626569","0.487062312125183","11.203","omhc1WSPD"
"19","0.027979041200858","0.530477718879774","0.529739354287907","11.203","omhc1GST"
"20","0.0124979035226741","0.603735203330795","0.603605830114665","11.203","pcoc1WSPD"
"21","-0.0444443871324246","0.643101017414032","0.641563414676512","11.203","pcoc1GST"
"22","0.00943985845012845","0.828474744094896","0.828420962238128","10.557","pcoc1ATMP"
"23","0.0141493134874021","0.331022183853324","0.33071964430747","11.203","pcoc1PRES"
"24","-0.0365621546771318","0.592289547778474","0.591159976024252","11.203","ppxc1WSPD"
"25","0.165969633217942","0.704314826712391","0.684480427752619","11.203","ppxc1GST"
"26","0.0689821204081669","0.546513366445633","0.542142349173842","11.203","ppxc1ATMP"
"27","0.0109919907947992","0.127930673172585","0.127457574418933","11.203","ppxc1PRES"
"28","-0.0236198449966361","0.548728949674193","0.548220360013086","11.203","psbc1WSPD"
"29","0.0717238070857897","0.666679329340292","0.662809945358955","11.203","psbc1GST"
"30","0.00323799078073026","1.18773973941223","1.18773532573328","11.203","psbc1ATMP"
"31","-0.105260640926574","0.471652775667819","0.459757042650665","11.203","psbc1PRES"
"32","-0.0411547944558219","0.345599386338533","0.343140231874477","11.203","pxoc1ATMP"
"33","-0.0227957871601997","0.331091732276163","0.330306050912449","10.628","pxsc1ATMP"
"34","-0.0125349164106664","0.514401652215538","0.514248904396162","11.203","rcmc1WSPD"
"35","-0.0482141918988931","0.594220217514618","0.592260971703063","11.203","rcmc1GST"
"36","0.0409566273347738","0.471399511418896","0.469616922654342","11.203","rcmc1ATMP"
"37","0.173667303324641","0.255345598491567","0.187192527695322","11.203","rcmc1PRES"
"38","-0.000614304765101672","0.35898347722705","0.358982951617037","11.203","rtyc1WSPD"
"39","0.00324579156703877","0.436972448669502","0.436960393781089","11.203","rtyc1GST"
"40","-0.0370313379771778","0.936177536506808","0.935444845978412","11.203","rtyc1ATMP"
"41","0.320214767844718","0.480468209081668","0.358206926778781","11.203","rtyc1PRES"
