"BIAS","RMSE","SDE","BIAS","RMSE","SDE","Components"
0.391529403904709,1.5535000586394,1.5033519741134,0.361840756725656,1.42988402053139,1.38334362287294,1
0.37698238812469,1.54292099182202,1.4961582356318,0.268563514063645,1.19659487879063,1.16606729774132,2
0.310945902362198,1.36630803723558,1.3304549216034,0.319969864253171,1.02488846800091,0.973660956293849,3
0.301357508033086,1.34834898459137,1.31424070725293,0.273013298323784,0.765912216162913,0.715601328817907,4
0.304063604521558,1.3511816207527,1.31652462820308,0.25282199631258,0.639259252902193,0.587140043432222,5
0.307507736662264,1.30185666123395,1.26501769090083,0.217492961468344,0.579885164218551,0.537553360507127,6
0.333443437253689,1.23166313849303,1.18566840257929,0.20948809513733,0.569413332120388,0.529477365703366,7
0.356675693973298,1.18257976464762,1.12750935653887,0.205609085903447,0.566063037021339,0.527401427449501,8
0.216965745706248,0.574548384132776,0.532007247036839,0.190515501744357,0.559354219018362,0.525909674686383,9
0.21382906660242,0.573068781229368,0.531681256295209,0.170326917448039,0.54494087431016,0.517638191873987,10
0.219255072392347,0.576350211108748,0.533016678046124,0.150822049803267,0.533459615273227,0.511695095169574,11
0.219133477040058,0.576093191722252,0.532788780652395,0.134907957955805,0.526598078672912,0.509023947709926,12
0.216552774599792,0.57419929194164,0.531798573408591,0.132156332424842,0.526110330499664,0.509241380544119,13
0.215486097571434,0.572552685773369,0.530454823467308,0.125765569961796,0.52387677924789,0.508556684399416,14
0.215746456102812,0.572591879473678,0.530391296231637,0.122114016152176,0.522314298183043,0.507838944101012,15
0.212756482345583,0.570624050586541,0.529477559796186,0.118146678629594,0.520586675883363,0.507002810086971,16
0.216583715400517,0.567823736065535,0.524895503374462,0.113501322085127,0.5192243561524,0.506666933899186,17
0.154835699138832,0.536205582783789,0.513363743636705,0.113207609259971,0.519075191436439,0.506579797830922,18
0.156427663952848,0.536817996467557,0.513521126421978,0.114247538076638,0.519419641442342,0.506699382237159,19
0.160631203225455,0.537831436211496,0.513283810700925,0.11536432392683,0.5196990022551,0.50673279517893,20
0.149587383596224,0.533437962120038,0.512034836802747,0.115566621084066,0.519727891440537,0.506716328168373,21
0.133426676660372,0.526748981167039,0.509570221967377,0.113905624392208,0.519306659252103,0.506660552120847,22
0.125812592279029,0.523665338001282,0.508327235005196,0.113840894912643,0.51931015040532,0.506678678216761,23
0.121719544668169,0.522051147709191,0.507663031222736,0.113857631999507,0.519313077167804,0.506677917175161,24
0.113852393592895,0.519313128546273,0.506679146949711,0.113852393592717,0.519313128546222,0.506679146949698,25
