"BIAS","RMSE","SDE","BIAS","RMSE","SDE","Components"
1.26614890577449,7.93818169775404,7.83655508593944,0.177819316891949,3.17795527194051,3.17297652071277,1
0.550404948549891,4.68735051558484,4.65492311951178,0.025959885117883,1.6219471284852,1.62173936622567,2
-0.0891287793770532,0.841182932568306,0.836447719066154,-0.0807035357345364,0.759742896408776,0.755444377809207,3
-0.0820540137257878,0.838667549707543,0.834643874813649,-0.0576440675759858,0.689216488371893,0.686801666652738,4
-0.0684258659710726,0.751760978083163,0.748640413706515,-0.0590806603910618,0.682042514927838,0.679478820668346,5
-0.0643755260343058,0.722910524145066,0.720038483393423,-0.0511449612533667,0.679192714412662,0.677264303097122,6
-0.0666050826359428,0.690805696336526,0.687587283956045,-0.0487529328777274,0.667936318278155,0.666154694354694,7
-0.0683601733739397,0.691348222923812,0.687960211085058,-0.075865303006817,0.664082216909218,0.659734527378055,8
-0.052306755677631,0.687188007926523,0.685194396903903,-0.0854143582800194,0.661327971205041,0.655788893545619,9
-0.0492931255991971,0.685660984907124,0.683886813729048,-0.112291666615257,0.665224541429258,0.655678482282692,10
-0.0247833653361627,0.684014794107319,0.683565668652466,-0.149373376981345,0.667291273068112,0.65035777642929,11
-0.0228605905134404,0.684727334577493,0.684345611602044,-0.15287694699825,0.662817734932199,0.64494650074029,12
-0.0355466304472098,0.680412010160807,0.679482847932837,-0.135350326008404,0.656799755469505,0.642702270133084,13
-0.044520728385551,0.678515247845463,0.677053060182738,-0.0887518529086901,0.646853858042073,0.640736312588251,14
-0.0448624338958926,0.678447925030261,0.676963033704797,-0.0754270721921615,0.641550912997346,0.637101507413259,15
-0.0553473685362063,0.675577937630721,0.673306927492578,-0.064741487048818,0.639641813336351,0.636356966822021,16
-0.125176859967264,0.679113720507727,0.66747748959091,-0.0416502538999733,0.637817211706164,0.636455852277826,17
-0.0958205108082794,0.669319953321045,0.66242556534461,-0.0323660361817688,0.637661865205205,0.636839928112914,18
-0.154956332889391,0.6713585810506,0.653231107072947,-0.0333234996619861,0.636489617408595,0.635616690655003,19
-0.161468009012507,0.670244008248037,0.650503737620263,-0.0453536441417077,0.637265773831933,0.635649835570403,20
-0.140399440171873,0.659178382627481,0.644052899475506,-0.0444394506336043,0.636873024121242,0.635320693886732,21
-0.152790157191476,0.662101445499648,0.644230930643762,-0.0380721025272308,0.636375903801139,0.635236023811522,22
-0.117454174102754,0.654018686606442,0.643385544923303,-0.0387132934844662,0.636443780542182,0.635265272699847,23
-0.0920085996899508,0.647377647788199,0.640805927281323,-0.0383639638808807,0.636456791056392,0.63529949878553,24
-0.0382128623405301,0.636453664706345,0.635305473351112,-0.0382128623414692,0.636453664706145,0.635305473350855,25
