#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 11 09 19 12  31  0.6  1.3 99.00 99.00 99.00 999 1010.8  14.2 999.0 999.0 99.0 99.00
2016 11 09 19 18   5  0.5  1.1 99.00 99.00 99.00 999 1010.6  14.2 999.0 999.0 99.0 99.00
2016 11 09 19 24  24  0.5  1.1 99.00 99.00 99.00 999 1010.6  14.4 999.0 999.0 99.0 99.00
2016 11 09 19 30  42  0.6  1.0 99.00 99.00 99.00 999 1010.6  14.8 999.0 999.0 99.0 99.00
2016 11 09 19 36  96  0.8  1.0 99.00 99.00 99.00 999 1010.5  15.1 999.0 999.0 99.0 99.00
2016 11 09 19 42  99  0.9  1.3 99.00 99.00 99.00 999 1010.5  14.9 999.0 999.0 99.0 99.00
2016 11 09 19 48 157  1.3  1.6 99.00 99.00 99.00 999 1010.5  14.9 999.0 999.0 99.0 99.00
2016 11 09 19 54 144  1.0  1.7 99.00 99.00 99.00 999 1010.6  15.2 999.0 999.0 99.0 99.00
2016 11 09 20 00 133  0.2  1.0 99.00 99.00 99.00 999 1010.7  15.1 999.0 999.0 99.0 99.00
2016 11 09 20 06 115  0.6  0.9 99.00 99.00 99.00 999 1010.9  15.8 999.0 999.0 99.0 99.00
2016 11 09 20 12  28  1.1  1.3 99.00 99.00 99.00 999 1010.8  15.3 999.0 999.0 99.0 99.00
2016 11 09 20 18 345  1.4  2.4 99.00 99.00 99.00 999 1011.0  15.0 999.0 999.0 99.0 99.00
2016 11 09 20 24 338  1.9  2.9 99.00 99.00 99.00 999 1011.0  14.9 999.0 999.0 99.0 99.00
2016 11 09 20 30 338  1.6  2.3 99.00 99.00 99.00 999 1011.0  14.8 999.0 999.0 99.0 99.00
2016 11 09 20 36 288  0.4  1.6 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 20 42  17  0.6  1.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
